ID,Name,SortID,Atlas,Photo,FrameBot,Description,AutoUse,Default,isHide,LocalizationArea
1041901,RAO记者头像框,22,Personal_Headframe02,UI_Headframe01_Icon_wcx_14_1.png,UI_Headframe01_Icon_wcx_14_2.png,通过运营活动获得,,,,2
1041026,莓果奇缘头像框,23,Personal_Headframe02,UI_Headframe01_Icon_42_1_yyz.png,UI_Headframe01_Icon_42_2_yyz.png,通过购买春日通行证获得,,,,9
1041027,缤纷夏日头像框,24,Personal_Headframe02,UI_Headframe01_Icon_43_1_yyz.png,UI_Headframe01_Icon_43_2_yyz.png,通过购买初夏通行证获得,,,,9
1041028,清凉夏日头像框,25,Personal_Headframe02,UI_Headframe01_Icon_44_1_yyz.png,UI_Headframe01_Icon_44_2_yyz.png,完成时空模拟战赛季任务获得,,,,9
1041029,热带风情头像框（15天）,29,Personal_Headframe02,UI_Headframe01_Icon_46_1_yyz.png,UI_Headframe01_Icon_46_2_yyz.png,开启菠萝通行证活动兑换的“菠萝小礼盒”时有几率获得,,,,9
1041030,感谢你喜欢RO头像框（15天）,30,Personal_Headframe02,UI_Headframe01_Icon_45_1_xhy.png,UI_Headframe01_Icon_45_2_xhy.png,通过参与周年庆典时装扭蛋活动有几率获得,,,,9
1041031,精炼勇士头像框,31,Personal_Headframe02,UI_Headframe01_Icon_47_1_zz.png,UI_Headframe01_Icon_47_2_zz.png,周年庆典精炼行动排名第6-20名获得,,,,9
1041032,精炼先锋头像框,32,Personal_Headframe02,UI_Headframe01_Icon_48_1_zz.png,UI_Headframe01_Icon_48_2_zz.png,周年庆典精炼行动排名第2-5名获得,,,,9
1041033,精炼领袖头像框,33,Personal_Headframe02,UI_Headframe01_Icon_49_1_zz.png,UI_Headframe01_Icon_49_2_zz.png,周年庆典-精炼行动排行榜第1名获得,,,,9
1041055,公会宝贝专属头像框,55,Personal_Headframe02,UI_Headframe01_Icon_gonghuibaobei_1.png,UI_Headframe01_Icon_gonghuibaobei_2.png,成为公会宝贝即可获得激活资格（卸任公会宝贝，则失去激活效果）,,,,9
